epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1254.97,1.67678,2.04831,1.75093,0.23952,0.448,0.23177,0.09711,1.95697,2.10055,1.8491,0.0009035,0.0009035,0.0009035
44,1283.75,1.66499,2.01556,1.75585,0.2335,0.45927,0.24711,0.1032,1.97487,2.08144,1.8727,0.00089525,0.00089525,0.00089525
45,1313.31,1.67403,2.00573,1.74361,0.2279,0.42993,0.23374,0.09753,1.98848,2.06306,1.90107,0.000887,0.000887,0.000887
46,1342.23,1.64601,2.02669,1.72594,0.27213,0.41945,0.25628,0.10958,1.94079,2.05604,1.8309,0.00087875,0.00087875,0.00087875
47,1371.43,1.69542,2.0115,1.74869,0.23729,0.45255,0.23803,0.0979,1.99417,2.053,1.90102,0.0008705,0.0008705,0.0008705
48,1400.23,1.64087,1.98703,1.74371,0.24491,0.45668,0.2495,0.10759,1.93795,2.04955,1.84101,0.00086225,0.00086225,0.00086225
49,1429.23,1.6661,1.96409,1.75078,0.23686,0.41479,0.24027,0.10145,2.02139,2.08043,1.89346,0.000854,0.000854,0.000854
50,1458.21,1.64229,2.00231,1.73374,0.25683,0.43013,0.25174,0.10889,1.96929,2.06483,1.85938,0.00084575,0.00084575,0.00084575
51,1487.16,1.63462,1.97063,1.71473,0.25498,0.41583,0.24284,0.10262,1.96971,2.06768,1.87272,0.0008375,0.0008375,0.0008375
52,1516.22,1.64166,1.9845,1.72894,0.24627,0.44228,0.24169,0.10272,1.9585,2.04616,1.86165,0.00082925,0.00082925,0.00082925
53,1545.16,1.634,1.93594,1.7202,0.25631,0.45312,0.26101,0.10782,1.97765,2.04557,1.87638,0.000821,0.000821,0.000821
54,1573.98,1.62796,1.97848,1.7292,0.24019,0.46122,0.23409,0.09669,1.97374,2.06575,1.87542,0.00081275,0.00081275,0.00081275
